sequence_type,name,technology,profiling_level,tool_link,publication_doi,publication_doi_link,last_update
DNA-to-DNA, CLARK, NGS[;TGS], species, https://github.com/rouni001/CLARK.git, 10.1186/s12864-015-1419-2, https://doi.org/10.1186/s12864-015-1419-2, 2015
DNA-to-DNA, Kraken2, NGS[;TGS], species, https://github.com/DerrickWood/kraken2.git, 10.1186/s13059-019-1891-0, https://doi.org/10.1186/s13059-019-1891-0, 2019
DNA-to-DNA, Bracken, NGS, species, https://github.com/jenniferlu717/Bracken.git, 10.7717/peerj-cs.104, https://doi.org/10.7717/peerj-cs.104, 2017
DNA-to-DNA, KrakenUniq, NGS;TGS, species, https://github.com/fbreitwieser/krakenuniq.git, 10.1186/s13059-018-1568-0, https://doi.org/10.1186/s13059-018-1568-0, 2018
DNA-to-DNA, MegaBLAST, NGS;TGS, , , NCBI blast, , none
DNA-to-DNA, MetaCache, NGS, species, https://github.com/muellan/metacache.git, 10.1093/bioinformatics/btx520, https://doi.org/10.1093/bioinformatics/btx520, 2017
DNA-to-DNA, Taxor, TGS, species, https://github.com/JensUweUlrich/Taxor.git, 10.1101/gr.278623.123, https://www.genome.org/cgi/doi/10.1101/gr.278623.123, 2024
DNA-to-DNA, Sylph, NGS; TGS, species, https://github.com/bluenote-1577/sylph.git, 10.1038/s41587-024-02412-y, https://doi.org/10.1038/s41587-024-02412-y, 2024
DNA-to-DNA, Ganon2, NGS[;TGS], species (strain), https://github.com/pirovc/ganon.git, 10.1093/nargab/lqaf094, https://doi.org/10.1093/nargab/lqaf094, 2025
DNA-to-DNA, KMCP, NGS[;TGS], species (strain), https://github.com/shenwei356/kmcp.git, 10.1093/bioinformatics/btac845, https://doi.org/10.1093/bioinformatics/btac845, 2022
DNA-to-DNA, Centrifuge, NGS;TGS, species (strain), https://github.com/DaehwanKimLab/centrifuge.git, 10.1101/gr.210641.116, http://www.genome.org/cgi/doi/10.1101/gr.210641.116, 2016
DNA-to-DNA, Centrifuger, NGS;TGS, strain, https://github.com/DaehwanKimLab/centrifuge.git, 10.1186/s13059-024-03244-4, https://doi.org/10.1186/s13059-024-03244-4, 2024
DNA-to-DNA, Mora, NGS;TGS, strain, https://github.com/AfZheng126/MORA.git, 10.1186/s12859-024-05768-9, https://doi.org/10.1186/s12859-024-05768-9, 2023
DNA-to-DNA, MetaMaps, TGS, strain, https://github.com/DiltheyLab/MetaMaps.git, 10.1038/s41467-019-10934-2, https://doi.org/10.1038/s41467-019-10934-2, 2019
DNA-to-DNA, Qmatey, NGS, strain, https://github.com/bodeolukolu/Qmatey.git, 10.1093/bib/bbad351, https://doi.org/10.1093/bib/bbad351, 2023
DNA-to-DNA, CAMMiQ, NGS, strain, https://github.com/algo-cancer/CAMMiQ.git, 10.1038/s41467-022-33869-7, https://doi.org/10.1038/s41467-022-33869-7, 2022
